Indirizzo,Coordinate
GALLERIA ROMA Albignasego,"(45.35513, 11.86904)"
LARGO DEGLI OBIZZI Albignasego,"(45.34431, 11.86808)"
PIAZZA ALCIDE DE GASPERI Albignasego,"(45.34643, 11.86731)"
PIAZZA SAN GIOVANNI CALABRIA Albignasego,"(45.35003, 11.86318)"
PIAZZALE DELLA TORRE Albignasego,"(45.34047, 11.90327)"
VIA ADA NEGRI Albignasego,"(45.35141, 11.85021)"
VIA ALESSANDRO MANZONI Albignasego,"(45.35306, 11.83446)"
VIA ALESSANDRO TASSONI Albignasego,"(45.3489, 11.85512)"
VIA ALESSANDRO VOLTA Albignasego,"(45.37128, 11.85745)"
VIA AMEDEO MODIGLIANI Albignasego,"(45.37668, 11.8619)"
VIA AMERIGO VESPUCCI Albignasego,"(45.36956, 11.84885)"
VIA ANDREA MANTEGNA Albignasego,"(45.37349, 11.85499)"
VICOLO ANTONIO PACINOTTI Albignasego,"(45.38111, 11.85927)"
VIA AOSTA Albignasego,"(45.34982, 11.88348)"
VIA ARNO Albignasego,"(45.34454, 11.87196)"
VICOLO ARRIGO BOITO Albignasego,"(45.34304, 11.86846)"
VIA BATTAGLIA Albignasego,"(45.35756, 11.83864)"
VIA BEATA LIDUINA MENEGUZZI Albignasego,"(45.34968, 11.85942)"
VIA BOLZANO Albignasego,"(45.3548, 11.87121)"
VIA BRENTA Albignasego,"(45.34373, 11.87317)"
VIA CARAVAGGIO Albignasego,"(45.37776, 11.85986)"
VIA CARLO POGGI Albignasego,"(45.35068, 11.85422)"
VIA CESARE BATTISTI Albignasego,"(45.34239, 11.86138)"
VIA CHECCO DA LION Albignasego,"(45.34965, 11.85597)"
VIA CRISTOFORO COLOMBO Albignasego,"(45.37706, 11.85347)"
VIA DALMAZIA Albignasego,"(45.34522, 11.89277)"
VIA DAMIANO CHIESA Albignasego,"(45.34405, 11.86305)"
VIA DANTE ALIGHIERI Albignasego,"(45.34986, 11.86748)"
VIA DEGLI ALPINI Albignasego,"(45.33419, 11.86657)"
VIA DELL' ARTIGIANATO Albignasego,"(45.35557, 11.83826)"
VIA DELLA COSTITUZIONE Albignasego,"(45.3447, 11.86009)"
VIA CROCE VERDE Albignasego,"(45.3501, 11.86074)"
VIA DELLE INDUSTRIE Albignasego,"(45.35988, 11.83937)"
VIA DON ANTONIO SCHIAVON Albignasego,"(45.35035, 11.86572)"
VIA DON GIOVANNI BOSCO Albignasego,"(45.36292, 11.848)"
VIA DON LORENZO MILANI Albignasego,"(45.36654, 11.84772)"
VIA DON LUIGI STURZO Albignasego,"(45.36454, 11.84734)"
VIA DON PIETRO GROTTO Albignasego,"(45.3381, 11.87893)"
VIA DONATELLO Albignasego,"(45.37941, 11.86012)"
VIA E A MARIO Albignasego,"(45.33503, 11.87151)"
VIA ETTORE MAJORANA Albignasego,"(45.36176, 11.84286)"
VIA EUGENIO MONTALE Albignasego,"(45.3512, 11.85931)"
VIA EUROPA Albignasego,"(45.34687, 11.86581)"
VIA FABIO FILZI Albignasego,"(45.34341, 11.86479)"
VIA ACQUAPENDENTE Albignasego,"(45.35068, 11.85806)"
VIA FELTRE Albignasego,"(45.35421, 11.87126)"
VIA FIRENZE Albignasego,"(45.34853, 11.87573)"
VIA FRANCESCO PETRARCA Albignasego,"(45.35163, 11.86733)"
VIA GABRIELE D' ANNUNZIO Albignasego,"(45.3368, 11.86469)"
VIA GAETANO DONIZETTI Albignasego,"(45.33789, 11.86847)"
VIA GALILEO GALILEI Albignasego,"(45.3751, 11.85218)"
VIA GENOVA Albignasego,"(45.356, 11.87458)"
VIA GIACOMO BRODOLINI Albignasego,"(45.36111, 11.84911)"
VIA GIACOMO PUCCINI Albignasego,"(45.33934, 11.8962)"
VIA G ROSSINI Albignasego,"(45.33545, 11.89837)"
VIA GIORGIONE Albignasego,"(45.37718, 11.85625)"
VIA GIOSUE' CARDUCCI Albignasego,"(45.3571, 11.86073)"
VIA GIOVANNI BATTISTA PERGOLESI Albignasego,"(45.33106, 11.8662)"
VIA GIOVANNI BONETTO Albignasego,"(45.34748, 11.86635)"
VIA GIOVANNI VERGA Albignasego,"(45.37965, 11.85435)"
VIA GIUSEPPE GARIBALDI Albignasego,"(45.34424, 11.83157)"
VIA GIUSEPPE MAZZINI Albignasego,"(45.33762, 11.86374)"
VICOLO GIUSEPPE TARTINI Albignasego,"(45.34319, 11.87121)"
VIA GIUSEPPE UNGARETTI Albignasego,"(45.36083, 11.86638)"
VIA GIUSEPPE VERDI Albignasego,"(45.33791, 11.89635)"
VIA GOFFREDO MAMELI Albignasego,"(45.33513, 11.85626)"
VIA GUGLIELMO MARCONI Albignasego,"(45.36293, 11.84112)"
VIA ILDEBRANDO PIZZETTI Albignasego,"(45.33132, 11.86626)"
VIA ISONZO Albignasego,"(45.34495, 11.87109)"
VIA LEONINO DA ZARA Albignasego,"(45.34477, 11.82978)"
VIA LOMBARDIA Albignasego,"(45.35297, 11.8678)"
