COMUNE,VIA/VICOLO/PIAZZA,latitudine,longitudine
Albignasego,GALLERIA ROMA,45.35513,11.86904
Albignasego,LARGO DEGLI OBIZZI,45.34431,11.86808
Albignasego,PIAZZA ALCIDE DE GASPERI,45.34643,11.86731
Albignasego,PIAZZA SAN GIOVANNI CALABRIA,45.35003,11.86318
Albignasego,PIAZZALE DELLA TORRE,45.34047,11.90327
Albignasego,VIA ADA NEGRI,45.35141,11.85021
Albignasego,VIA ALESSANDRO MANZONI,45.35306,11.83446
Albignasego,VIA ALESSANDRO TASSONI,45.3489,11.85512
Albignasego,VIA ALESSANDRO VOLTA,45.37128,11.85745
Albignasego,VIA AMEDEO MODIGLIANI,45.37668,11.8619
Albignasego,VIA AMERIGO VESPUCCI,45.36956,11.84885
Albignasego,VIA ANDREA MANTEGNA,45.37349,11.85499
Albignasego,VICOLO ANTONIO PACINOTTI,45.38111,11.85927
Albignasego,VIA AOSTA,45.34982,11.88348
Albignasego,VIA ARNO,45.34454,11.87196
Albignasego,VICOLO ARRIGO BOITO,45.34304,11.86846
Albignasego,VIA BATTAGLIA,45.35756,11.83864
Albignasego,VIA BEATA LIDUINA MENEGUZZI,45.34968,11.85942
Albignasego,VIA BOLZANO,45.3548,11.87121
Albignasego,VIA BRENTA,45.34373,11.87317
Albignasego,VIA CARAVAGGIO,45.37776,11.85986
Albignasego,VIA CARLO POGGI,45.35068,11.85422
Albignasego,VIA CESARE BATTISTI,45.34239,11.86138
Albignasego,VIA CHECCO DA LION,45.34965,11.85597
Albignasego,VIA CRISTOFORO COLOMBO,45.37706,11.85347
Albignasego,VIA DALMAZIA,45.34522,11.89277
Albignasego,VIA DAMIANO CHIESA,45.34405,11.86305
Albignasego,VIA DANTE ALIGHIERI,45.34986,11.86748
Albignasego,VIA DEGLI ALPINI,45.33419,11.86657
Albignasego,VIA DELL' ARTIGIANATO,45.35557,11.83826
Albignasego,VIA DELLA COSTITUZIONE,45.3447,11.86009
Albignasego,VIA CROCE VERDE,45.35010,11.86074
Albignasego,VIA DELLE INDUSTRIE,45.35988,11.83937
Albignasego,VIA DON ANTONIO SCHIAVON,45.35035,11.86572
Albignasego,VIA DON GIOVANNI BOSCO,45.36292,11.848
Albignasego,VIA DON LORENZO MILANI,45.36654,11.84772
Albignasego,VIA DON LUIGI STURZO,45.36454,11.84734
Albignasego,VIA DON PIETRO GROTTO,45.3381,11.87893
Albignasego,VIA DONATELLO,45.37941,11.86012
Albignasego,VIA E A MARIO,45.33503,11.87151
Albignasego,VIA ETTORE MAJORANA,45.36176,11.84286
Albignasego,VIA EUGENIO MONTALE,45.3512,11.85931
Albignasego,VIA EUROPA,45.34687,11.86581
Albignasego,VIA FABIO FILZI,45.34341,11.86479
Albignasego,VIA ACQUAPENDENTE,45.35068,11.85806
Albignasego,VIA FELTRE,45.35421,11.87126
Albignasego,VIA FIRENZE,45.34853,11.87573
Albignasego,VIA FRANCESCO PETRARCA,45.35163,11.86733
Albignasego,VIA GABRIELE D' ANNUNZIO,45.3368,11.86469
Albignasego,VIA GAETANO DONIZETTI,45.33789,11.86847
Albignasego,VIA GALILEO GALILEI,45.3751,11.85218
Albignasego,VIA GENOVA,45.356,11.87458
Albignasego,VIA GIACOMO BRODOLINI,45.36111,11.84911
Albignasego,VIA GIACOMO PUCCINI,45.33934,11.8962
Albignasego,VIA G ROSSINI,45.33545,11.89837
Albignasego,VIA GIORGIONE,45.37718,11.85625
Albignasego,VIA GIOSUE' CARDUCCI,45.3571,11.86073
Albignasego,VIA GIOVANNI BATTISTA PERGOLESI,45.33106,11.86620
Albignasego,VIA GIOVANNI BONETTO,45.34748,11.86635
Albignasego,VIA GIOVANNI VERGA,45.37965,11.85435
Albignasego,VIA GIUSEPPE GARIBALDI,45.34424,11.83157
Albignasego,VIA GIUSEPPE MAZZINI,45.33762,11.86374
Albignasego,VICOLO GIUSEPPE TARTINI,45.34319,11.87121
Albignasego,VIA GIUSEPPE UNGARETTI,45.36083,11.86638
Albignasego,VIA GIUSEPPE VERDI,45.33791,11.89635
Albignasego,VIA GOFFREDO MAMELI,45.33513,11.85626
Albignasego,VIA GUGLIELMO MARCONI,45.36293,11.84112
Albignasego,VIA ILDEBRANDO PIZZETTI,45.33132,11.86626
Albignasego,VIA ISONZO,45.34495,11.87109
Albignasego,VIA LEONINO DA ZARA,45.34477,11.82978
Albignasego,VIA LOMBARDIA,45.35297,11.8678
Albignasego,VIA LOVATO DE LOVATI,45.35027,11.85635
Albignasego,VIA LUIGI CADORNA,45.34589,11.86597
Albignasego,VIA LUIGI CHERUBINI,45.33673,11.86886
Albignasego,VIA LUIGI PIRANDELLO,45.35045,11.86024
Albignasego,VIA MAESTRI DEL LAVORO D'ITALIA,45.34316,11.86308
Albignasego,VIA MARCO DA CLES,45.35099,11.85588
Albignasego,VIA MARCO POLO,45.37265,11.84919
Albignasego,VIA MARIA CALLAS,45.3381,11.9017
Albignasego,VIA MARINAI D'ITALIA,45.35543,11.87514
Albignasego,VIA MICHELANGELO BUONARROTI,45.3746,11.85765
Albignasego,VIA MILANO,45.34583,11.87218
Albignasego,VIA MONFALCONE,45.35616,11.87048
Albignasego,VIA MONTE CIMONE,45.33771,11.90457
Albignasego,VIA MONTE GRAPPA,45.33196,11.91179
Albignasego,VIA MONTE SABOTINO,45.34228,11.90389
Albignasego,VIA MONTE SANTO,45.34014,11.90386
Albignasego,VIA NICCOLO' PAGANINI,45.33178,11.89032
Albignasego,VIA OTTORINO RESPIGHI,45.33469,11.86751
Albignasego,VIA PADOVA,45.3517,11.87131
Albignasego,VIA PIEMONTE,45.35252,11.86761
Albignasego,VIA PIETRO MASCAGNI,45.33821,11.88281
Albignasego,VIA PIETRO SELVATICO,45.35666,11.86428
Albignasego,VIA PISA,45.35556,11.87366
Albignasego,VIA RAGUSA,45.35849,11.8433
Albignasego,VIA RIALTO,45.3541,11.87302
Albignasego,VIA RISORGIMENTO,45.35231,11.89673
Albignasego,VIA ROMA,45.35942,11.87011
Albignasego,VIA RONCON,45.35264,11.87344
Albignasego,VIA ROVIGO,45.3517,11.86949
Albignasego,VIA SAN BELLINO,45.36824,11.84943
Albignasego,VIA SAN BIAGIO,45.36022,11.86727
Albignasego,VIA SAN DANIELE,45.33872,11.87649
Albignasego,VIA SAN FRANCESCO,45.34487,11.88264
Albignasego,VIA SAN GIORGIO,45.33763,11.87124
Albignasego,VIA SAN GIOVANNI,45.34104,11.90789
Albignasego,VIA SAN GREGORIO BARBARIGO,45.35668,11.86785
Albignasego,VIA SAN LEOPOLDO,45.35504,11.86676
Albignasego,VIA SAN MARCO,45.33804,11.87677
Albignasego,VIA SAN PADRE PIO,45.3481,11.85835
Albignasego,VIA SAN PROSDOCIMO,45.35882,11.86755
Albignasego,VIA SAN TOMMASO,45.35333,11.85026
Albignasego,VIA SANT' ANDREA,45.34539,11.86999
Albignasego,VIA SANT' ANTONIO,45.3575,11.86937
Albignasego,VIA SANT' EUROSIA,45.34784,11.86436
Albignasego,VIA SANTA CATERINA DA SIENA,45.33907,11.90562
Albignasego,VIA SANTA GIOVANNA D'ARCO,45.33741,11.90682
Albignasego,VIA SANTA GIUSTINA,45.33663,11.88041
Albignasego,VIA SANTA LUCIA,45.35823,11.86598
Albignasego,VIA SANTA MONICA,45.37415,11.85822
Albignasego,VIA SANTA TERESA DI LISIEUX,45.33744,11.90534
Albignasego,VIA SANTO STEFANO,45.33225,11.87541
Albignasego,VIA SEBASTIANO CABOTO,45.36839,11.84611
Albignasego,VIA 16 MARZO,45.34747,11.87016
Albignasego,VIA SILVIO PELLICO,45.33735,11.85951
Albignasego,VIA TAGLIAMENTO,45.34474,11.87157
Albignasego,VIA TINTORETTO,45.37514,11.85584
Albignasego,VIA TITO LIVIO,45.34832,11.86184
Albignasego,VIA TIZIANO VECELLIO,45.37183,11.8556
Albignasego,VIA TORINO,45.35185,11.88141
Albignasego,VIA TORQUATO TASSO,45.35809,11.85688
Albignasego,VIA UGO FOSCOLO,45.35617,11.86587
Albignasego,VIA VENETO,45.35348,11.86797
Albignasego,VIA VENEZIA,45.35396,11.87402
Albignasego,VIA VERCELLI,45.35087,11.87275
Albignasego,VIA VERONA,45.35383,11.87149
Albignasego,VIA VINCENZO BELLINI,45.32729,11.88033
Albignasego,VIA VITTORIO ALFIERI,45.34802,11.8656
Albignasego,VIA GALVANI,45.38094,11.86209
Albignasego,VIA VITTORIO VENETO,45.35584,11.87123
Albignasego,VIALE CAVOUR,45.34607,11.86659
Albignasego,VIA DELLA PACE,45.34861,11.87720
Albignasego,VIALE LEONINO DA ZARA,45.34403,11.83144
Albignasego,VIALE MARTIRI DELLE FOIBE,45.34903,11.85961
Albignasego,VICOLO ADIGE,45.34387,11.8721
Albignasego,VIA PONCHIELLI,45.33416,11.86793
Albignasego,VICOLO ANTONIO MEUCCI,45.38032,11.85632
Albignasego,VICOLO ANTONIO VIVALDI,45.34293,11.87153
Albignasego,VICOLO ARCANGELO CORELLI,45.33822,11.8822
Albignasego,VICOLO ARMANDO DIAZ,45.34515,11.86502
Albignasego,VICOLO ARTURO TOSCANINI,45.33924,11.86756
Albignasego,VICOLO ASIAGO,45.35312,11.87135
Albignasego,VICOLO BELLUNO,45.35198,11.87007
Albignasego,VICOLO CARLO COLLODI,45.3571,11.86284
Albignasego,VIA CARLO GOLDONI,45.35690,11.86301
Albignasego,VICOLO CELESTE GALLINARO,45.3551,11.86588
Albignasego,VICOLO CHIOGGIA,45.35316,11.87057
Albignasego,VICOLO CIRO MENOTTI,45.33929,11.86511
Albignasego,VICOLO CLAUDIO MONTEVERDI,45.33672,11.86722
Albignasego,VICOLO CRISTINA CAMPO,45.36030,11.86292
Albignasego,VICOLO CRISTINA PAVESI,45.34195,11.86872
Albignasego,VICOLO DANIELE MANIN,45.34912,11.83377
Albignasego,VICOLO DOMENICO CIMAROSA,45.33123,11.86644
Albignasego,VICOLO DON GIOVANNI MINZONI,45.36412,11.84500
Albignasego,VICOLO EMANUELA LOI,45.34652,11.86004
Albignasego,VICOLO ENRICO FERMI,45.38265,11.86065
Albignasego,VICOLO ENRICO TOTI,45.34596,11.86504
Albignasego,VICOLO EVANGELISTA TORRICELLI,45.37155,11.85679
Albignasego,VICOLO FERDINANDO MAGELLANO,45.36836,11.85049
Albignasego,VICOLO FRANCESCA MORVILLO,45.34198,11.86842
Albignasego,VICOLO FRANCESCO BARACCA,45.34067,11.84682
Albignasego,VICOLO FRATELLI BANDIERA,45.3462,11.86344
Albignasego,VICOLO FRATELLI CAIROLI,45.34877,11.84944
Albignasego,VICOLO GELA,45.35693,11.84132
Albignasego,VICOLO GIACOMO LEOPARDI,45.34696,11.86502
Albignasego,VICOLO GIACOMO ZANELLA,45.36034,11.86996
Albignasego,VICOLO GIOTTO,45.37436,11.8526
Albignasego,VICOLO GIOVANNI BOCCACCIO,45.35066,11.84696
Albignasego,VICOLO GIOVANNI PASCOLI,45.34904,11.85012
Albignasego,VIA VISENTIN,45.36096,11.84534
Albignasego,VICOLO GIUSEPPE GIUSTI,45.34819,11.8652
Albignasego,VICOLO GIUSEPPE PARINI,45.34911,11.86608
Albignasego,VICOLO GORIZIA,45.34772,11.86876
Albignasego,VICOLO GOZZANO,45.36030,11.86391
Albignasego,VICOLO IPPOLITO NIEVO,45.36101,11.84736
Albignasego,VICOLO ITALO SVEVO,45.36084,11.84784
Albignasego,VICOLO IVREA,45.35066,11.87562
Albignasego,VICOLO LEONARDO DA VINCI,45.38092,11.85727
Albignasego,VICOLO LORENZO PEROSI,45.34433,11.86976
Albignasego,VICOLO LUCIANO MANARA,45.34752,11.85252
Albignasego,VICOLO LUDOVICO ARIOSTO,45.34705,11.86403
Albignasego,VICOLO MARINO MORETTI,45.36023,11.86627
Albignasego,VICOLO MARSALA,45.34599,11.86454
Albignasego,VICOLO MARTIRI DI CEFALONIA,45.34752,11.8579
Albignasego,VIA MONCENISIO,45.34140,11.90610
Albignasego,VICOLO MONTE BIANCO,45.33673,11.90722
Albignasego,VICOLO MONTE CERVINO,45.34221,11.90102
Albignasego,VICOLO MONTE PASUBIO,45.33791,11.90441
Albignasego,VICOLO NAZARIO SAURO,45.3408,11.85936
Albignasego,VICOLO NINO BIXIO,45.34809,11.84873
Albignasego,VICOLO PIAVE,45.34513,11.87045
Albignasego,VICOLO PIER LUIGI DA PALESTRINA,45.34401,11.87123
Albignasego,VIA PIETRO MARONCELLI,45.33751,11.84917
Albignasego,VICOLO PAOLO VERONESI,45.37526,11.85176
Albignasego,VICOLO PO,45.34105,11.89337
Albignasego,VICOLO POLA,45.3458,11.89903
Albignasego,VICOLO RAFFAELLO SANZIO,45.37444,11.85162
Albignasego,VICOLO ROSA LUXEMBURG,45.36574,11.85311
Albignasego,VICOLO SALVATORE QUASIMODO,45.34678,11.86028
Albignasego,VICOLO SAN GIACOMO,45.34095,11.90868
Albignasego,VICOLO SAN LORENZO,45.33877,11.88102
Albignasego,VICOLO SAN PIO X,45.33499,11.91309
Albignasego,PIZZERIA LA FENICE,45.33296,11.86768
Albignasego,VICOLO SANTA CECILIA,45.35708,11.86732
Albignasego,VICOLO SANTA RITA,45.35628,11.86863
Albignasego,VICOLO SANTA ROSA,45.35641,11.86804
Albignasego,VICOLO TEVERE,45.3389,11.88808
Albignasego,VICOLO TITO SPERI,45.34907,11.84895
Albignasego,VICOLO TIZIANO ASPETTI,45.37163,11.85831
Albignasego,VICOLO TRENTO,45.34733,11.86923
Albignasego,VICOLO TREVISO,45.35442,11.87183
Albignasego,VICOLO TRIESTE,45.34747,11.86902
